"PaymentId";"PaymentType";"CardNumber";"AmountCharged";"OrderHeader_OrderNumber"
1;"CreditCard";"9957684776084846";2011;1
2;"CreditCard";"8193228485536103";9602;2
3;"CreditCard";"9855971901619191";1638;3
4;"CreditCard";"5360488591662601";2440;4
5;"CreditCard";"4938580493563818";6861;5
6;"CreditCard";"5038858453051419";3147;6
7;"CreditCard";"8510811710575860";273;7
8;"CreditCard";"7362934552086728";2758;8
9;"CreditCard";"9524020328898636";5834;9
10;"CreditCard";"6405126901355931";10314;10
11;"CreditCard";"9687459372803632";8004;11
12;"CreditCard";"6500886117775619";7270;12
13;"CreditCard";"6443948206397203";7950;13
14;"CreditCard";"6121739292121567";3146;14
15;"CreditCard";"9286738143604700";12072;15
16;"CreditCard";"8397272055081098";11014;16
17;"CreditCard";"6790127286606767";8600;17
18;"CreditCard";"8960393662908723";12975;18
19;"CreditCard";"7807438357367336";9919;19
20;"CreditCard";"7302230338556467";2160;20
21;"CreditCard";"5661670417397937";12375;21
22;"CreditCard";"8350343060914202";2574;22
23;"CreditCard";"9964758940487483";2882;23
24;"CreditCard";"8853925379632267";12594;24
25;"CreditCard";"5797463328299096";6958;25
26;"CreditCard";"8729386321152622";5718;26
27;"CreditCard";"9336890425926528";2002;27
28;"CreditCard";"7225231697298633";6200;28
29;"CreditCard";"5918139776172145";6816;29
30;"CreditCard";"5482473656205931";7659;30
31;"CreditCard";"9786326933967503";8140;31
32;"CreditCard";"4988673886548672";7597;32
33;"CreditCard";"5285711146150716";6106;33
34;"CreditCard";"6290543164202016";2925;34
35;"CreditCard";"6253023712654984";4320;35
36;"CreditCard";"8936313565106433";7164;36
37;"CreditCard";"5854827178352841";7585;37
38;"CreditCard";"6059892699068272";687;38
39;"CreditCard";"9985898951284231";4710;39
40;"CreditCard";"9293635163331728";5849;40
41;"CreditCard";"8640552993542015";10243;41
42;"CreditCard";"5742783847609394";618;42
43;"CreditCard";"4754085173111035";12051;43
44;"CreditCard";"6023323067965758";6565;44
45;"CreditCard";"4588803697591855";4470;45
46;"CreditCard";"8506020688881668";10417;46
47;"CreditCard";"7738987446257906";11796;47
48;"CreditCard";"7443588584998246";5380;48
49;"CreditCard";"6677812534853919";9091;49
50;"CreditCard";"7449503889341304";9163;50
51;"CreditCard";"9549933954285893";5942;51
52;"CreditCard";"6670055709226910";4582;52
53;"CreditCard";"5318441812675332";6028;53
54;"CreditCard";"7750787503629181";4790;54
55;"CreditCard";"4887988277955808";5642;55
56;"CreditCard";"9150115166246443";2430;56
57;"CreditCard";"7247422703568092";7394;57
58;"CreditCard";"8012502001741030";7026;58
59;"CreditCard";"7966039764640613";14580;59
60;"CreditCard";"7897786106106077";12853;60
61;"CreditCard";"9520192407443214";11553;61
62;"CreditCard";"4516624323431915";903;62
63;"CreditCard";"6143562663968179";5969;63
64;"CreditCard";"8402433329273489";7388;64
65;"CreditCard";"9573936831443217";5470;65
66;"CreditCard";"4673636108450319";6645;66
67;"CreditCard";"7938991118881526";4174;67
68;"CreditCard";"5483403690396662";2308;68
69;"CreditCard";"5338643439603479";11066;69
70;"CreditCard";"8737885223623805";2310;70
71;"CreditCard";"5024583638101270";10633;71
72;"CreditCard";"7196140216544348";7761;72
73;"CreditCard";"4930440642836919";4633;73
74;"CreditCard";"6550161851172816";2770;74
75;"CreditCard";"8404147063391846";10767;75
76;"CreditCard";"9270707682832729";7697;76
77;"CreditCard";"9445367878501103";5407;77
78;"CreditCard";"6150617895482796";13366;78
79;"CreditCard";"8415245565759685";9128;79
80;"CreditCard";"7346280392102745";7784;80
81;"CreditCard";"7141099048657831";6516;81
82;"CreditCard";"7680718429998196";4275;82
83;"CreditCard";"7981259066281338";7020;83
84;"CreditCard";"7819767193833994";428;84
85;"CreditCard";"8577230643155128";12907;85
86;"CreditCard";"4653722947138628";386;86
87;"CreditCard";"7052984112159947";614;87
88;"CreditCard";"7037960769373841";7550;88
89;"CreditCard";"8920395544660732";1248;89
90;"CreditCard";"7649659694962485";3386;90
91;"CreditCard";"9727723004980080";2699;91
92;"CreditCard";"6425607614078480";7992;92
93;"CreditCard";"8625196617894483";4767;93
94;"CreditCard";"5309939814420267";6271;94
95;"CreditCard";"8538283324974517";3328;95
96;"CreditCard";"6883649995929205";7748;96
97;"CreditCard";"6187820453915325";6870;97
98;"CreditCard";"9986488505707354";7776;98
99;"CreditCard";"5340326071748570";11661;99
100;"CreditCard";"5653653832333218";5628;100
101;"CreditCard";"9822802994761259";6534;101
102;"CreditCard";"6718489712294283";6926;102
103;"CreditCard";"6922830144356472";5020;103
104;"CreditCard";"7855267745100641";1160;104
105;"CreditCard";"8554644288128003";8232;105
106;"CreditCard";"5218696214780308";1239;106
107;"CreditCard";"7603994311447876";6846;107
108;"CreditCard";"4863265356638204";7551;108
109;"CreditCard";"7131211111611801";9081;109
110;"CreditCard";"8785817199074313";253;110
111;"CreditCard";"5980939602784885";1585;111
112;"CreditCard";"8722080641114685";6839;112
113;"CreditCard";"5753818353983280";8835;113
114;"CreditCard";"7372740120007866";3581;114
115;"CreditCard";"7607979309760484";2960;115
116;"CreditCard";"9264926590528004";11558;116
117;"CreditCard";"8254423263180347";2176;117
118;"CreditCard";"8013914859960245";5520;118
119;"CreditCard";"6144671499181295";3110;119
120;"CreditCard";"6886665031492979";6302;120
121;"CreditCard";"9216462609824436";10276;121
122;"CreditCard";"6090933517119222";7988;122
123;"CreditCard";"8341580560567400";10478;123
124;"CreditCard";"6913602196833622";2048;124
125;"CreditCard";"9157469527580707";9300;125
126;"CreditCard";"9753942790387417";3270;126
127;"CreditCard";"9318137632461394";7613;127
128;"CreditCard";"7967464474761040";1622;128
129;"CreditCard";"4695714032106658";3191;129
130;"CreditCard";"9744630598710098";9305;130
131;"CreditCard";"9747140525772920";7296;131
132;"CreditCard";"9606163412448910";4503;132
133;"CreditCard";"8688630147218054";1556;133
134;"CreditCard";"8857887036345591";7064;134
135;"CreditCard";"6603136904686848";9749;135
136;"CreditCard";"6011888731684972";2628;136
137;"CreditCard";"6942569714676987";7027;137
138;"CreditCard";"9864907163451818";3790;138
139;"CreditCard";"5573728291795111";2191;139
140;"CreditCard";"7832301742605869";4422;140
141;"CreditCard";"7347951090813142";7634;141
142;"CreditCard";"7513650196717307";6691;142
143;"CreditCard";"4447516468338305";9357;143
144;"CreditCard";"9506559171767598";732;144
145;"CreditCard";"9368883027162203";9322;145
146;"CreditCard";"9152576477626632";2321;146
147;"CreditCard";"8841709585151896";10331;147
148;"CreditCard";"8677541560071960";3621;148
149;"CreditCard";"6759474189946632";5208;149
